txn_id,accm_txn_complete_time
467760,5/17/2022 1:27:06
481185,5/17/2022 1:57:24
665378,5/15/2022 14:07:42
751479,5/17/2022 10:15:10
717472,5/17/2022 13:59:18
445108,5/14/2022 14:58:07
733274,5/14/2022 6:58:13
528277,5/14/2022 22:43:18
432851,5/15/2022 15:18:28
761598,5/17/2022 14:04:24
481462,5/17/2022 4:14:24
592283,5/17/2022 2:22:00
533539,5/13/2022 23:58:32
751870,5/16/2022 10:42:08
626534,5/14/2022 11:04:21
784150,5/14/2022 1:20:51
727222,5/14/2022 3:52:57
657290,5/17/2022 19:49:00
459869,5/17/2022 18:30:10
768240,5/16/2022 12:37:58
744698,5/14/2022 18:10:05
608516,5/17/2022 14:17:43
532025,5/17/2022 15:16:53
504603,5/14/2022 1:33:51
551585,5/14/2022 13:27:02
531261,5/15/2022 16:03:08
758983,5/16/2022 7:47:46
627722,5/16/2022 3:51:33
589604,5/13/2022 17:43:24
531883,5/15/2022 1:15:40
468806,5/13/2022 3:31:49
444547,5/17/2022 10:59:04
507588,5/13/2022 11:46:15
715718,5/17/2022 15:35:34
665981,5/16/2022 8:39:16
774977,5/14/2022 13:36:40
755159,5/14/2022 1:11:49
557479,5/14/2022 17:37:01
747229,5/15/2022 20:12:29
459726,5/17/2022 13:05:53
487048,5/15/2022 19:26:49
747656,5/17/2022 3:19:55
519487,5/15/2022 18:28:25
755906,5/16/2022 12:56:21
461000,5/15/2022 22:10:46
693932,5/14/2022 2:47:18
531073,5/14/2022 14:48:36
549817,5/16/2022 20:55:19
592692,5/15/2022 14:47:24
426288,5/14/2022 5:19:32
752998,5/14/2022 16:56:40
765349,5/13/2022 8:51:53
713569,5/14/2022 19:57:25
738696,5/15/2022 5:53:16
639095,5/15/2022 22:08:07
478608,5/15/2022 21:33:38
504729,5/13/2022 12:24:24
485970,5/15/2022 6:35:54
796680,5/14/2022 6:56:57
743710,5/15/2022 22:33:01
624820,5/15/2022 5:32:12
414293,5/17/2022 4:20:24
611876,5/14/2022 10:29:33
618333,5/17/2022 6:36:25
641131,5/14/2022 15:40:28
730063,5/17/2022 1:56:20
610351,5/15/2022 18:47:38
521915,5/16/2022 13:46:55
448828,5/16/2022 21:28:00
647008,5/14/2022 16:36:10
683062,5/14/2022 15:07:18
528206,5/17/2022 0:41:49
536626,5/17/2022 15:32:55
642212,5/14/2022 10:13:06
743216,5/17/2022 1:45:53
514308,5/17/2022 3:46:54
453740,5/16/2022 14:01:47
726257,5/15/2022 6:27:06
564283,5/15/2022 18:53:55
494627,5/13/2022 1:39:13
600007,5/15/2022 14:30:40
538592,5/15/2022 6:32:44
558505,5/16/2022 3:08:55
503291,5/15/2022 8:28:48
722276,5/16/2022 20:44:30
744090,5/13/2022 16:22:27
786607,5/14/2022 23:19:39
648344,5/14/2022 6:58:02
565652,5/15/2022 10:18:34
643568,5/14/2022 23:20:56
408724,5/16/2022 4:04:49
627719,5/16/2022 5:03:11
526598,5/15/2022 23:36:11
579126,5/14/2022 21:20:41
692494,5/15/2022 11:24:44
586953,5/17/2022 12:37:04
641152,5/13/2022 16:23:05
614103,5/17/2022 9:45:29
704542,5/17/2022 6:21:42
438091,5/16/2022 9:52:52
717303,5/17/2022 14:19:01
714472,5/13/2022 19:07:02
755137,5/16/2022 13:45:43
482028,5/14/2022 5:52:30
426212,5/14/2022 23:08:36
566777,5/17/2022 19:56:05
661971,5/17/2022 18:12:49
471141,5/16/2022 10:57:10
561453,5/14/2022 6:42:54
563692,5/17/2022 17:42:37
406170,5/13/2022 6:03:36
756309,5/16/2022 19:44:33
525162,5/17/2022 23:31:04
709775,5/16/2022 14:13:40
745701,5/14/2022 15:49:03
646330,5/16/2022 19:34:07
450131,5/14/2022 13:35:57
726651,5/17/2022 23:20:25
794081,5/16/2022 10:04:21
689159,5/17/2022 2:40:35
578436,5/13/2022 12:28:45
567709,5/15/2022 16:31:41
685406,5/16/2022 15:47:27
472093,5/13/2022 8:13:23
760107,5/16/2022 7:39:43
464919,5/17/2022 7:46:40
764869,5/14/2022 2:37:23
783702,5/13/2022 20:56:25
703713,5/15/2022 16:05:59
696683,5/14/2022 19:01:51
558338,5/15/2022 5:45:34
532373,5/17/2022 10:56:45
627905,5/15/2022 12:22:37
735602,5/17/2022 5:18:37
489991,5/17/2022 8:28:55
784066,5/15/2022 3:47:02
521209,5/16/2022 5:04:14
648188,5/14/2022 12:34:54
570638,5/13/2022 13:35:51
687461,5/14/2022 10:59:40
685317,5/13/2022 13:50:29
423964,5/13/2022 6:54:18
667817,5/14/2022 0:28:28
457717,5/14/2022 15:50:31
573012,5/16/2022 13:45:02
741017,5/14/2022 13:56:14
477481,5/14/2022 1:22:43
415617,5/17/2022 12:46:27
404758,5/16/2022 11:27:18
731261,5/14/2022 22:34:44
550233,5/13/2022 15:45:05
740040,5/17/2022 3:47:43
602979,5/16/2022 15:59:21
628396,5/17/2022 8:57:50
770608,5/13/2022 21:19:57
670653,5/13/2022 15:26:10
554016,5/16/2022 2:45:11
766885,5/13/2022 12:03:51
495359,5/15/2022 8:47:19
454827,5/13/2022 9:22:50
640490,5/16/2022 3:25:24
581435,5/17/2022 3:09:14
683415,5/16/2022 3:10:11
617563,5/15/2022 10:09:46
401282,5/15/2022 18:17:37
645931,5/13/2022 17:43:14
580837,5/16/2022 5:36:07
641005,5/15/2022 5:37:31
677450,5/13/2022 20:02:06
527727,5/14/2022 1:50:10
698789,5/16/2022 11:35:32
642655,5/13/2022 7:53:49
556872,5/14/2022 10:16:33
547995,5/14/2022 11:19:54
760406,5/17/2022 7:19:26
435329,5/17/2022 16:24:11
769063,5/15/2022 1:27:36
540346,5/14/2022 8:56:17
448079,5/14/2022 21:56:20
718261,5/15/2022 6:58:53
788589,5/14/2022 23:15:00
456761,5/17/2022 6:19:59
798292,5/16/2022 7:52:10
406083,5/17/2022 7:07:29
738313,5/15/2022 6:54:29
592673,5/13/2022 3:31:17
498811,5/15/2022 18:34:09
434035,5/17/2022 22:08:51
550735,5/15/2022 8:56:09
500731,5/14/2022 12:37:35
642652,5/14/2022 18:14:21
798057,5/17/2022 6:13:04
601852,5/17/2022 7:23:21
563118,5/17/2022 12:39:18
663263,5/13/2022 12:44:03
475409,5/16/2022 23:42:47
531267,5/15/2022 14:43:06
723625,5/16/2022 7:51:28
624572,5/14/2022 23:17:57
579825,5/14/2022 22:54:50
762057,5/16/2022 11:59:13
508322,5/13/2022 15:59:16
718052,5/15/2022 18:33:24
633157,5/13/2022 8:31:10
765543,5/13/2022 12:39:16
701017,5/17/2022 10:06:08
420330,5/16/2022 15:25:24
459785,5/14/2022 12:43:13
674275,5/13/2022 3:05:09
793790,5/15/2022 14:07:33
510784,5/16/2022 15:58:28
586503,5/15/2022 16:43:34
602933,5/17/2022 12:41:00
674812,5/13/2022 17:49:35
789274,5/17/2022 7:51:24
711789,5/13/2022 3:37:30
778599,5/14/2022 22:51:10
738023,5/15/2022 11:38:43
432664,5/16/2022 22:06:16
627525,5/15/2022 2:35:35
497778,5/15/2022 1:55:43
608533,5/15/2022 6:11:56
766634,5/17/2022 5:39:21
530934,5/15/2022 23:07:42
621739,5/15/2022 9:18:26
500434,5/14/2022 19:47:56
488656,5/16/2022 9:04:08
743905,5/17/2022 12:33:16
495661,5/15/2022 19:29:36
625821,5/15/2022 9:50:49
409713,5/14/2022 13:29:20
787631,5/16/2022 10:10:57
422836,5/15/2022 13:59:24
466467,5/14/2022 7:43:04
446236,5/13/2022 13:38:00
793232,5/17/2022 7:57:14
531263,5/13/2022 15:11:58
517674,5/16/2022 6:49:30
423704,5/15/2022 5:45:06
522312,5/15/2022 11:02:35
760274,5/16/2022 1:07:55
544661,5/17/2022 19:29:21
777895,5/16/2022 11:12:46
601977,5/13/2022 8:10:32
623179,5/16/2022 17:06:55
449893,5/17/2022 2:36:39
418645,5/13/2022 3:11:53
639071,5/16/2022 17:33:18
627329,5/14/2022 0:27:50
507785,5/15/2022 14:10:41
484096,5/15/2022 9:42:14
718924,5/14/2022 6:35:05
439553,5/17/2022 13:59:14
540110,5/14/2022 10:39:59
777200,5/14/2022 0:48:07
646854,5/16/2022 19:45:49
726785,5/14/2022 7:02:25
608198,5/17/2022 17:28:25
745294,5/17/2022 0:13:48
547789,5/15/2022 13:58:13
425052,5/14/2022 22:38:42
502148,5/13/2022 10:47:37
436963,5/16/2022 4:48:25
558901,5/13/2022 10:43:19
794280,5/16/2022 8:55:48
771542,5/13/2022 17:36:04
554945,5/15/2022 20:07:41
648821,5/14/2022 3:02:13
649681,5/17/2022 7:55:56
480439,5/13/2022 2:32:54
633723,5/13/2022 23:31:02
539097,5/13/2022 19:18:25
406457,5/16/2022 13:48:30
525760,5/16/2022 22:27:20
694803,5/17/2022 5:33:11
664367,5/17/2022 4:45:09
714270,5/14/2022 9:25:58
592589,5/13/2022 1:27:49
555575,5/17/2022 4:53:57
401014,5/13/2022 14:11:07
741864,5/17/2022 3:49:23
708271,5/14/2022 10:00:32
693436,5/16/2022 14:00:45
587083,5/14/2022 7:29:43
401176,5/17/2022 7:48:50
597526,5/14/2022 19:29:09
643914,5/16/2022 14:18:49
614926,5/17/2022 20:46:04
493040,5/13/2022 10:22:21
404848,5/14/2022 7:51:17
765141,5/15/2022 10:01:35
458803,5/15/2022 12:36:38
673501,5/16/2022 9:42:58
648779,5/13/2022 13:25:31
420672,5/14/2022 6:55:31
564921,5/15/2022 16:57:07
443273,5/13/2022 2:54:28
569798,5/17/2022 6:44:23
571256,5/15/2022 12:59:33
518713,5/16/2022 0:00:27
696445,5/13/2022 19:22:44
602908,5/17/2022 16:06:04
770127,5/14/2022 23:24:27
560949,5/14/2022 17:56:53
416458,5/16/2022 4:01:11
715062,5/14/2022 1:56:07
774821,5/16/2022 21:55:12
459880,5/15/2022 3:10:12
625404,5/14/2022 19:54:08
637029,5/17/2022 4:19:34
441956,5/16/2022 19:47:23
712753,5/13/2022 15:26:20
678074,5/14/2022 4:00:03
592429,5/17/2022 8:03:32
576613,5/17/2022 8:08:38
405754,5/13/2022 13:22:53
610138,5/16/2022 12:02:56
463538,5/13/2022 14:34:29
748894,5/17/2022 12:19:36
492391,5/13/2022 16:11:45
603482,5/17/2022 21:40:53
717958,5/14/2022 12:30:39
560780,5/17/2022 8:38:26
611438,5/15/2022 11:50:41
410400,5/14/2022 7:27:29
756938,5/14/2022 15:16:03
737702,5/13/2022 23:57:04
583839,5/16/2022 12:11:22
790251,5/15/2022 2:28:35
581488,5/15/2022 19:09:59
422477,5/17/2022 11:34:35
762016,5/17/2022 21:50:18
731778,5/17/2022 18:15:59
425738,5/14/2022 21:32:30
745305,5/14/2022 22:04:58
621955,5/15/2022 12:38:43
477060,5/14/2022 16:18:47
424972,5/13/2022 15:37:54
767988,5/14/2022 3:22:23
657244,5/13/2022 0:03:13
783126,5/17/2022 11:16:43
406376,5/13/2022 9:10:03
564396,5/17/2022 11:03:15
602799,5/15/2022 19:43:03
730641,5/15/2022 17:49:45
586952,5/15/2022 11:24:38
570493,5/16/2022 17:03:19
752747,5/17/2022 16:04:33
516950,5/15/2022 7:01:36
406427,5/17/2022 22:05:25
507635,5/17/2022 11:19:28
499223,5/13/2022 4:47:41
430250,5/15/2022 6:36:34
584174,5/16/2022 8:11:41
670118,5/14/2022 4:44:22
501735,5/14/2022 8:09:48
641282,5/13/2022 15:31:49
587872,5/17/2022 7:23:31
608999,5/17/2022 10:53:12
730902,5/17/2022 8:58:18
670183,5/13/2022 2:11:25
588627,5/14/2022 8:45:49
687427,5/13/2022 9:13:00
680611,5/14/2022 12:12:54
525970,5/17/2022 10:15:55
750052,5/13/2022 13:48:00
567010,5/14/2022 21:26:16
706519,5/16/2022 0:04:56
458150,5/17/2022 12:33:57
558773,5/17/2022 22:03:26
613353,5/13/2022 23:26:06
501924,5/13/2022 0:20:25
529803,5/14/2022 2:24:01
668579,5/14/2022 6:20:05
551818,5/16/2022 4:45:14
618526,5/13/2022 3:03:09
706189,5/16/2022 11:56:04
659134,5/16/2022 23:09:28
542108,5/15/2022 9:59:48
628502,5/15/2022 20:27:04
719938,5/16/2022 4:40:17
671966,5/14/2022 23:27:03
432434,5/17/2022 22:49:45
449561,5/14/2022 23:57:25
773503,5/14/2022 7:16:22
549598,5/17/2022 18:11:18
509288,5/13/2022 2:39:06
567085,5/16/2022 20:34:44
514093,5/16/2022 19:37:46
750798,5/15/2022 3:02:05
609046,5/16/2022 7:12:30
782683,5/13/2022 15:01:40
772722,5/17/2022 1:02:41
629063,5/15/2022 16:19:30
447441,5/17/2022 14:08:47
450957,5/15/2022 16:20:11
768896,5/16/2022 19:41:34
713260,5/16/2022 15:11:43
417542,5/14/2022 21:37:58
455405,5/15/2022 2:46:08
630459,5/17/2022 5:58:34
745956,5/17/2022 13:45:46
563777,5/16/2022 9:24:40
710068,5/13/2022 3:30:36
443612,5/16/2022 10:50:43
523748,5/17/2022 11:12:52
570693,5/14/2022 0:50:57
618950,5/17/2022 6:08:17
735132,5/16/2022 17:44:56
424205,5/16/2022 7:25:07
561683,5/15/2022 9:45:43
795742,5/17/2022 16:22:40
714699,5/17/2022 14:26:38
663601,5/17/2022 20:13:34
748282,5/15/2022 4:59:30
789717,5/15/2022 10:52:12
683771,5/16/2022 17:09:52
796223,5/17/2022 3:49:06
439437,5/14/2022 1:03:17
559645,5/15/2022 13:05:25
621279,5/14/2022 1:37:57
641346,5/14/2022 16:14:18
699378,5/15/2022 17:11:07
402653,5/15/2022 23:03:29
620770,5/13/2022 9:00:22
515669,5/17/2022 9:54:08
580129,5/14/2022 15:53:31
733005,5/13/2022 10:19:43
605221,5/13/2022 17:52:00
662306,5/14/2022 7:25:11
577783,5/15/2022 22:33:01
409561,5/14/2022 4:31:50
439755,5/17/2022 22:25:29
723872,5/16/2022 17:24:12
560203,5/14/2022 22:34:24
722079,5/15/2022 9:07:54
792166,5/14/2022 19:55:20
741904,5/15/2022 18:45:48
725293,5/17/2022 13:58:27
516195,5/17/2022 5:47:21
678065,5/16/2022 8:54:22
479282,5/15/2022 7:51:13
