Building ID,Owner ID,zip_code,neighborhood,block,address,building_class_category,tax_class,building_class,year_built,LandUse
1,O142762,11201,DOWNTOWN-METROTECH,140,330 JAY STREET,28  COMMERCIAL CONDOS,4,R5,2002,NA
2,O237423,11201,DOWNTOWN-FULTON FERRY,54,85 JAY STREET,29  COMMERCIAL GARAGES,4,G7,0,10
3,O51212,11201,BROOKLYN HEIGHTS,204,29 COLUMBIA HEIGHTS,21  OFFICE BUILDINGS,4,O6,1924,5
4,O229087,11234,MILL BASIN,8470,5120 AVENUE U,22  STORE BUILDINGS,4,K6,1970,5
5,O374448,11201,BROOKLYN HEIGHTS,230,21 CLARK STREET,26 OTHER HOTELS,4,H8,1927,8
6,O69993,11249,WILLIAMSBURG-SOUTH,2428,329 KENT AVENUE,31  COMMERCIAL VACANT LAND,4,V1,0,4
7,O7114,11241,BROOKLYN HEIGHTS,250,16 COURT STREET,21 OFFICE BUILDINGS,4,O4,1928,5
8,O371999,11211,WILLIAMSBURG-NORTH,2307,250 N 10 STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D8,2012,3
9,O26723,11249,WILLIAMSBURG-SOUTH,2128,418 KENT AVENUE,29  COMMERCIAL GARAGES,4,G7,0,3
10,O84865,11205,NAVY YARD,1876,9-47 HALL ST,30  WAREHOUSES,4,E9,1912,6
11,O91313,11249,WILLIAMSBURG-NORTH,2287,20 NORTH 12 STREET,41 TAX CLASS 4 - OTHER,4,Z9,0,NA
12,O206689,11217,FORT GREENE,2094,625 FULTON,31  COMMERCIAL VACANT LAND,4,V1,0,11
13,O186471,11201,DOWNTOWN-FULTON MALL,165,236 LIVINGSTON STREET,11A CONDO-RENTALS,2,RR,2009,NA
14,O196723,11201,DOWNTOWN-METROTECH,63,55 PROSPECT STREET,21 OFFICE BUILDINGS,4,O6,1967,5
15,O253217,11201,DOWNTOWN-FULTON MALL,159,486 FULTON STREET,28  COMMERCIAL CONDOS,4,RK,1920,NA
16,O358048,11201,DOWNTOWN-METROTECH,87,90 SANDS STREET,26 OTHER HOTELS,4,H8,1992,8
17,O333919,11249,WILLIAMSBURG-NORTH,2282,19 KENT AVENUE,31  COMMERCIAL VACANT LAND,4,V1,1920,5
18,O252128,11211,WILLIAMSBURG-NORTH,2322,246 NORTH 8TH   STREET,08  RENTALS - ELEVATOR APARTMENTS,2,D3,2014,3
19,O59974,11236,CANARSIE,7920,8717 FOSTER AVENUE,29  COMMERCIAL GARAGES,4,G7,0,10
20,O59260,11201,DOWNTOWN-METROTECH,77,77 SANDS STREET,21 OFFICE BUILDINGS,4,O6,1962,5
21,O231601,11222,GREENPOINT,2530,155 WEST STREET,30  WAREHOUSES,4,E1,1971,4
