Sales ID,Customer ID,Building ID,sale_price,sale_date,total_units,land_sqft,gross_sqft
467760,C228102,1,499401179,4/23/2008,1,0,0
481185,C427051,2,345000000,12/20/2016,0,134988,0
665378,C558061,3,340000000,8/3/2016,0,32000,304650
751479,C33563,4,276947000,11/28/2012,123,905000,2548000
717472,C395072,5,202500000,10/31/2017,1,20267,356000
445108,C203759,6,185445000,10/11/2012,0,57600,0
733274,C585053,7,171000000,10/10/2017,102,12500,290440
528277,C74296,8,169000000,5/1/2015,237,50173,241764
432851,C281469,9,165000000,2/4/2015,0,44704,0
761598,C89163,10,161000000,3/4/2016,1,113800,547000
481462,C216500,11,160000000,4/19/2017,0,60400,0
592283,C121354,12,158000000,1/13/2016,0,62472,0
533539,C414761,13,154250000,12/15/2016,11,18175,5802
751870,C70591,14,138106368,3/31/2017,2,20704,253096
626534,C90579,15,135212000,12/2/2013,1,0,0
784150,C627590,16,135000000,8/29/2017,1,21175,363100
727222,C56788,17,132400000,12/24/2015,1,80000,0
657290,C608916,18,125000000,3/1/2016,104,20000,88797
459869,C232476,19,124000000,12/5/2012,0,278821,0
768240,C539886,20,121313223,3/31/2017,5,14800,223712
744698,C538536,21,120000000,8/8/2014,2,208426,95000
608516,C309905,22,117037454,1/28/2016,1,0,0
532025,C174154,23,112000000,6/26/2014,0,51680,0
504603,C91303,24,107500000,7/18/2007,3,12500,290440
551585,C103949,25,105000000,4/26/2016,74,7554,36750
531261,C474812,26,103500000,1/21/2016,130,42454,173476
758983,C238035,27,102873750,3/31/2017,3,21218,210488
627722,C209958,28,98676252,12/16/2014,32,26000,35200
589604,C386182,29,98463962,3/31/2017,2,20600,181576
531883,C297901,30,95600000,12/16/2009,3,138155,30000
468806,C664252,31,92250000,4/30/2015,52,36511,101358
444547,C520404,32,91500000,8/29/2013,32,690000,292886
507588,C69143,33,90000000,12/17/2015,1,31865,97000
715718,C523162,34,90000000,3/2/2015,355,21185,190750
665981,C637154,35,88000000,11/16/2016,0,0,0
774977,C280991,36,87500000,5/9/2017,1,20427,104239
755159,C573100,37,86057143,12/23/2014,126,30000,91493
557479,C540659,38,85000000,10/14/2015,1,0,0
747229,C642730,39,84000000,10/11/2016,137,18500,153067
459726,C485003,40,83500000,12/31/2008,2,219975,103000
487048,C558636,41,82500000,8/10/2015,30,112666,302000
747656,C475931,42,81000000,11/2/2012,1,15600,187200
519487,C285692,43,80000000,3/16/2016,0,4462,0
755906,C342036,44,79672500,3/31/2016,42,11150,49100
461000,C214710,45,76500000,11/29/2016,1,13290,42278
693932,C120724,46,76000000,12/20/2011,113,37200,166100
531073,C436707,47,75925000,1/29/2015,126,22500,120689
549817,C184427,48,75000000,7/31/2015,270,58972,254214
592692,C522107,49,73000000,7/7/2015,1,33521,40877
426288,C674731,50,72200000,4/5/2016,0,89976,0
752998,C79299,51,72000000,12/18/2013,130,42454,173476
765349,C567730,52,70000000,4/19/2013,5,50025,239485
713569,C290725,53,70000000,3/16/2015,1,92000,0
738696,C109039,54,68875000,12/5/2016,95,20000,71619
639095,C85888,55,68500000,10/13/2015,0,65516,0
478608,C376243,56,68000000,8/12/2014,76,41196,184411
504729,C553678,57,68000000,5/10/2017,3,12415,36000
485970,C46459,58,67716996,6/11/2015,339,235000,334000
796680,C262997,59,67486441,8/7/2014,6,48000,229926
743710,C419090,60,66690000,5/29/2011,1,49132,354047
624820,C22441,61,66500000,5/12/2016,118,34720,104835
414293,C199064,62,66035377,6/11/2015,335,223304,366000
611876,C609925,63,66000000,4/5/2012,4,1000,4000
618333,C326920,64,65600000,8/30/2012,509,75707,522607
641131,C159936,65,65000000,11/29/2016,1,17564,41150
730063,C494506,66,64000000,10/2/2013,1,20704,206000
610351,C562622,67,62742225,2/25/2013,70,36664,95388
521915,C287722,68,60209050,10/1/2015,26,7500,12240
448828,C486927,69,60000000,6/13/2014,122,7500,78096
647008,C459889,70,60000000,11/7/2017,1,23408,31204
683062,C276235,71,59757356,10/19/2015,0,5293,0
528206,C541729,72,59280000,2/5/2003,0,0,0
536626,C66700,73,59000000,1/28/2014,1,0,0
642212,C50158,74,58620000,1/28/2016,439,185461,550700
743216,C148740,75,58403000,7/15/2008,53,11040,46352
514308,C39205,76,58200000,12/13/2010,130,42454,173476
453740,C412147,77,58000000,4/3/2014,127,44950,101957
726257,C5820,78,58000000,8/31/2017,49,7575,90426
564283,C290355,79,57500000,11/23/2011,1,0,0
494627,C400069,80,56500000,3/31/2016,86,35772,113924
600007,C111585,81,56000000,5/9/2012,63,20726,82081
538592,C331455,82,55675000,2/1/2017,104,24524,150595
558505,C104055,83,54000000,10/2/2013,1,14800,191800
503291,C316473,84,54000000,12/22/2016,4,16525,96586
722276,C359101,85,53000000,10/2/2013,1,21218,191688
744090,C626348,86,53000000,3/8/2016,1,319935,59405
786607,C159699,87,53000000,12/26/2017,10,34602,129654
648344,C182614,88,53000000,10/17/2017,1,82862,79338
565652,C489500,89,52962546,1/28/2016,1,58400,290356
643568,C137267,90,52962546,7/11/2017,1,58400,290356
408724,C199914,91,52350000,9/8/2016,1,0,0
627719,C396285,92,52200000,12/12/2014,126,15000,69998
526598,C169620,93,52000000,8/7/2014,77,21150,78540
579126,C435473,94,52000000,10/6/2016,64,13825,84860
692494,C615400,95,52000000,6/15/2017,1,25477,0
586953,C30197,96,51500000,5/21/2014,2,160700,5600
